The	AT the AT-TL the
Krogers'	NPS$ krogers '
fastened	VBN fasten
lid	NN lid
Oddly	RB oddly
indictment	NN indictment
narcotics	NNS narcotic
rumor	NN rumor
malice	NN malice
enmity	NN enmity
Perry	NP perry
Cooperman	NP cooperman
Teller	NP teller
indictments	NNS indictment
narcotic	NN narcotic JJ narcotic
Sokol	NP sokol
peddlers	NNS-HL peddler NNS peddler
racket	NN racket
posed	VBD pose
addicts	NNS addict
sometimes	RB sometimes
rivalries	NNS rivalry
aiming	VBG aim
criminals	NNS criminal
jealousies	NNS jealousy
grievances	NNS grievance
creditable	JJ creditable
mentions	NNS mention
compensations	NNS compensation
nominated	VBN nominate
Tree	NP tree
medal	NN medal
comments	NNS-HL comment NNS comment
Connelly	NP connelly
clients'	NNS$ client '
$4,700	NNS $ 4,700
heroin	NN heroin
convicted	VBN convict
peddler	NN peddler
Otis	NP otis
Sears	NP sear
6934	CD 6934
Indiana	NP indiana
Av.	NN-TL av .
$800	NNS $ 800
witness	NN witness VB witness NN-HL witness
Moses	NP moses
Winston	NP winston
Mardis	NP mardis
5835	CD 5835
agent	NN agent
bondsman	NN bondsman
adjourned	VBD adjourn
Jeremiah	NP jeremiah
Hope	NP hope
Pullings	NP pulling
Jessy	NP jessy
Maroy	NP maroy
indicted	VBN indict
Buaford	NP buaford
7026	CD 7026
Stewart	NP stewart NP-TL stewart
CTA	NN cta
robbed	VBN rob
youths	NNS youth
51st	OD 51st OD-TL 51st
Way	NN-TL way
physician's	NN$ physician 's
eyebrow	NN eyebrow
bag	NN bag
$40	NNS $ 40
$214	NNS $ 214
paycheck	NN paycheck
Policemen	NNS-TL policeman
Morgan	NP morgan
Wabash	NP-TL wabash
boarded	VBD board
bound	VBN bind VB bind
express	NN express VB express
Dunbar	NP-TL dunbar
Vocational	JJ-TL vocational
30th	OD-TL 30th
skylarking	VBG skylark
supervisor	NN supervisor
youth	NN youth
accosted	VBD accost VBN accost
ensued	VBD ensue
fled	VBD flee
Blanche	NP blanche NP-TL blanche
Dunkel	NP dunkel
reformatory	NN reformatory
murder	NN murder
1935	CD 1935
Lang	NP lang
appealed	VBD appeal
pardon	NN pardon
Bookwalter	NP bookwalter
Carpentier	NP carpentier
Stratton	NP stratton
commuted	VBD commute
slaying	NN slay
lover	NN lover
1934	CD 1934
relationship	NN relationship
wealthy	JJ wealthy
Evanston	NP evanston
forbidden	VBN forbid
chase	NN chase
icy	JJ icy
Wilmette	NP wilmette
Stickney	NP stickney
3211	CD 3211
reckless	JJ reckless
Corcoran	NP corcoran
salesman	NN salesman
Plee-Zing	NP plee - zing
2544	CD-TL 2544
brokerage	NN brokerage
Patrolman	NN patrolman NN-TL patrolman
Simms	NP simms
pursuit	NN pursuit
speeding	VBG speed
Jenks	NP-TL jenk NP jenk
skidded	VBD skid
sped	VBD speed
spun	VBD spin
Prairie	NN-TL prairie
Johns	NP-HL johns
21-year-old	JJ 21 - year - old
Pohl	NP pohl
bludgeon	NN bludgeon
Anna	NP anna
Hengesbach	NP hengesbach
visible	JJ visible
emotion	NN emotion
cell	NN cell
court-appointed	JJ court - appoint
Stepson	NN-HL stepson
vindicated	VBN-HL vindicate
woman's	NN$ woman 's
stepson	NN stepson
54	CD 54
reach	VB reach
cloud	NN cloud
neighbor	NN neighbor
pleased	VBN please
suspicion	NN suspicion
removed	VBN remove
Still	RB still
else's	RB$ else be
misfortune	NN misfortune
Lives	VBZ-HL life
rebuild	VB rebuild
settled	VBN settle
grandfather	NN grandfather
Westphalia	NP westphalia
southwest	NR southwest
Ledge	NN-TL ledge
barn	NN barn
release	NN release
arson	NN arson
killing	VBG kill
confession	NN confession
retracted	VBN retract
Charges	NNS-HL charge
Prosecutor	NN-TL prosecutor
Fred	NP fred
Cash	NP cash
sentencing	VBG sentencing
motion	NN motion
Locked	VBN-HL lock
4:05	CD 4:05
13-1/2	CD 13 - 1/2
deliberation	NN deliberation
locked	VBN lock
overnight	RB overnight
canvassed	VBN canvass
foreman	NN foreman
Olive	NP olive
Heideman	NP heideman
Elsie	NP elsie
Pohl's	NP$ pohl 's
valid	JJ valid
definition	NN definition
packed	VBN pack
Sterling	NP-TL sterling
Township	NN-TL township
surviving	VBG survive
died	VBD die
aftermath	NN aftermath
homeowners	NNS homeowner
hard-hit	JJ hard - hit
Kowalski	NP kowalski
34220	CD-TL 34220
Viceroy	NP-TL viceroy
Holy	JJ-TL holy
bottled	VBN bottled
Pankowski	NP pankowski
adjoining	VBG adjoin
suburb	NN suburb
Services	NNS-HL service NNS service
Funeral	NN funeral NN-TL funeral
Christine	NP christine
Anne's	NP$-TL anne 's
31978	CD-TL 31978
Mound	NN-TL mound
Mt.	NN-TL mt.
Olivet	NP-TL olivet
Cemetery	NN-TL cemetery
rested	VBD rest
caskets	NNS casket
Lyle	NP-TL lyle
Elliott	NP-TL elliott
31730	CD-TL 31730
61	CD 61
fueled	VBD fuel
cook	NN cook VB cook
stove	NN stove
grandmother's	NN$ grandmother 's
upstairs	JJ upstairs
2274	CD-TL 2274
Eight	CD-TL eight CD eight
Mile	NN-TL mile
Road	NN-TL road
candle	NN-HL candle NN candle
Cornell	NP cornell
fumes	NNS fume
ignited	VBN ignite
girls	NNS girl
lacked	VBD lack
electricity	NN electricity
Christine's	NP$ christine 's
twin	NN twin
Darlene	NP darlene
escaped	VBD escape
Vicky	NP vicky
Dennis	NP dennis
Bernardine	NP bernardine
Mother	NN-TL mother NN-HL mother
roofer	NN roofer
seldom	RB seldom
arrears	NNS arrear
split-level	NN split - level
tragedy	NN tragedy
funeral	NN funeral
A135	NNS-HL a135
Neighbor	NN neighbor
Sidney	NP sidney
2269	CD-TL 2269
Serra	NP-TL serra
supplying	VBG supply
meals	NNS meal
Kowalski's	NP$ kowalski 's
sister-in-law	NN sister - in - law
22111	CD-TL 22111
2731	CD-TL 2731
Pall	NP-TL pall
Mall	NN-TL mall
$135	NNS $ 135
collected	VBN collect VBD collect
$400	NNS $ 400
Tareytown	NP-TL tareytown
Homeowners	NNS-TL homeowner
announcing	VBG announce
door-to-door	NN door - to - door
subdivision	NN subdivision
Students	NNS-HL student NNS student
canvass	NN canvass
480	CD 480
northeast	NR northeast
Dequindre	NP dequindre NP-TL dequindre
mailed	VBN mail
553	CD-TL 553
Village	NN-TL village
$25	NNS $ 25
Fuhrmann	NP-TL fuhrmann
5155	CD-TL 5155
Principal	NN principal JJS principal
Pohly	NP pohly
collection	NN collection
revealed	VBD reveal
Y-Teen	NN y - teen
surpluses	NNS surplus
Funds	NNS-HL fund
Student	NN student NN-TL student
proceeds	NNS proceed
Fuhrmann's	NP$ fuhrmann 's
770	CD 770
Furhmann's	NP$ furhmann 's
faculty	NN faculty
spontaneous	JJ spontaneous
fondness	NN fondness
sympathy	NN sympathy
Line	NN-TL line
3505o	CD-TL 3505o
Expresses	VBZ-HL express
spoken	VBN speak
properly	RB properly
alert	JJ alert
10-year-old	JJ 10 - year - old
patrol	NN patrol
conviction	NN conviction
youthful	JJ youthful
motorist	NN motorist
Kimmell	NP kimmell
McClellan	NP-TL mcclellan NP mcclellan
Sisk	NP sisk
9230	CD-TL 9230
Vernor	NP-TL vernor
grader	NN grader
Scripps	NP scripps
Belvidere	NP belvidere
Kercheval	NP kercheval
belatedly	RB belatedly
crosswalk	NN crosswalk
Gets	VBZ-HL get
safely	RB safely
approaching	VBG approach
narrowly	RB narrowly
Commandeering	VBG commandeer
pursued	VBD pursue
fleeing	VBG flee
Returning	VBG return
Sarkees	NP sarkee
2433	CD 2433
Given	VBN-HL give
Traffic	NN-TL traffic
Murphy	NP murphy
no-driving	JJ no - drive
Correction	NN-TL correction
showdown	NN showdown
Help	NN-HL help
Vientiane	NP vientiane
Laotian	JJ laotian
offensive	JJ offensive
southeast	NR southeast
truce	NN truce
reconvened	VBN reconvene
Delhi	NP-TL delhi
verify	VB verify
14-power	JJ 14 - power
Plea	NN-HL plea
Tiao	NP tiao
Sopsaisana	NP sopsaisana
thinking	VBG think
troops	NNS troop
worsens	VBZ worsen
full-fledged	JJ full - fledged
note	NN note VB note
Ambassador	NN-TL ambassador
Winthrop	NP winthrop
Heavy	JJ-HL heavy
minister	NN minister
describing	VBG describe
appeal	NN appeal VB appeal
60,000	CD 60,000
Vietnamese	NPS vietnamese
Thakhek	NP thakhek
southern-central	JJ southern - central
confirmation	NN confirmation
massive	JJ massive
assaults	NNS assault
sources	NNS source
claims	NNS claim
exaggerated	VBN exaggerated
Havana	NP-HL havana NP havana NP-TL havana
Cubans	NPS cubans
executed	VBN execute
firing	VBG fire
squads	NNS squad
tribunals	NNS tribunal
decreeing	VBG decree
captured	VBN capture
suspected	VBN suspect
collaborators	NNS collaborator
McNair	NP mcnair
executions	NNS execution
dawn	NN dawn
revolutionary	JJ revolutionary
tribunal	NN tribunal
Pinar	NP pinar
Del	NP del
Rio	NP rio
plot	NN-HL plot
Seattle	NP seattle
ex-marine	NN ex - marine
businessman	NN businessman
condemned	VBN condemn
smuggling	VBG smuggle
rebels	NNS rebel
commander	NN commander
Legion	NN-TL legion
disbanded	VBD disband
Fidel	NP fidel
Castro's	NP$ castro 's
Anderson's	NP$ anderson 's
seized	VBN seize
boatload	NN boatload
rifles	NNS rifle
Report	VB-HL report
roundup	NN roundup
Raymont	NP raymont
Berrellez	NP berrellez
Associated	VBN-TL associate
swept	VBN sweep VBD sweep
dragnet	NN dragnet
auditorium	NN auditorium
converted	VBN convert
makeshift	JJ makeshift
jails	NNS jail
Roman	JJ roman
priests	NNS priest
concentration	NN concentration
Siberia	NP siberia
prisoners	NNS prisoner
Kegham	NP kegham
pseudynom	NN pseudynom
Bucharest	NP bucharest
Armenian	JJ armenian
Revolutionary	JJ-TL revolutionary
ARF	NP arf
Today	NR today
Emory	NP-TL emory NP emory
University's	NN$-TL university 's
Trustees	NNS-TL trustee
by-laws	NNS by - law
33-man	JJ 33 - man
taxing	VBG tax
roadblock	NN roadblock
tax-exempt	JJ tax - exempt
institutions	NNS institution
segregated	VBN segregate
standards	NNS standard
institution	NN institution
grade	NN grade
tax-exemption	NN tax - exemption
privileges	NNS privilege
conforms	VBZ conform
aforementioned	JJ aforementioned
statutory	JJ statutory
provisions	NNS provision
obstacles	NNS obstacle
desegregation	NN desegregation
intend	VB intend VB-HL intend
exempt	VB exempt JJ exempt
taxation	NN taxation
criteria	NNS criterion
endowments	NNS endowment
colored	VBN colored
integrated	VBN integrated
challenged	VBN challenge
affiliated	VBN affiliate
Urged	VBN-HL urge
newspaper	NN newspaper
Wheel	NN-TL wheel
trustees'	NNS$ trustee '
commitment	NN commitment
excellence	NN excellence
Teaching	VBG teach
paramount	JJS paramount
generous	JJ generous
recognize	VB recognize
obligation	NN obligation
promote	VB promote
creed	NN creed
Insofar	RB insofar
governing	VBG govern
documents	NNS document
applications	NNS application
prospective	JJ prospective
irrespective	JJ irrespective
Corporate	JJ-HL corporate
existence	NN-HL existence NN existence
derives	VBZ derive
corporate	JJ corporate
jeopardizing	VBG jeopardize
desiring	VBG desire
intellectual	JJ intellectual
moral	JJ moral
fulfillment	NN fulfillment
mission	NN mission
riding	VBG ride
slid	VBD slide
pole	NN pole
Waddell	NP-TL waddell
NE	NN ne NP-TL ne
1688	CD-TL 1688
Knoll	NN-TL knoll
Cir.	NN-TL cir .
Hammons	NP hammons
evidently	RB evidently
rain-slick	JJ rain - slick
occupants	NNS occupant
Willard	NP willard
Olvey	NP olvey
963	CD-TL 963
Ponce	NP-TL ponce
Leon	NP-TL leon
Coleman	NP coleman
704	CD-TL 704
SE	NN se
lacerations	NNS laceration
bruises	NNS bruise
renewed	VBD renew VBN renew
picketing	VBG picket
stand-ins	NNS stand - in
first-run	NN first - run
theaters	NNS theater
Appeal	NN-TL appeal
Human	JJ-TL human
Rights	NNS-TL right
identically	RB identically
worded	VBN word
Downtown	NR downtown
art	NN art
contacted	VBN contact
COAHR	NN coahr
Gather	VB-HL gather
eve	NN eve
operators	NNS operator
likelihood	NN likelihood
three-day	JJ three - day
sporadic	JJ sporadic
negotiate	VB negotiate
Black	NP black NN black
Friday's	NR$ friday 's
inability	NN inability
indifference	NN indifference
integrate	VB integrate
pledged	VBN pledge VBD pledge
nonviolent	JJ nonviolent
extensive	JJ extensive
presence	NN presence
picket	NN picket
profits	NNS profit
uptown	NN uptown
Buckhead	NP buckhead
Killingsworth	NP-HL killingsworth NP killingsworth
72	CD 72
357	CD-TL 357
Venable	NP-TL venable
Kililngsworth	NP kililngsworth
S	NN s
W	NN w
Cafeteria	NN-TL cafeteria
Pittsboro	NP pittsboro
Survivors	NNS survivor
sisters	NNS sister
Bessie	NP bessie
Bloom	NP bloom
Gettysburg	NP gettysburg
68	CD 68
Marietta	NP-TL marietta
NW	NN nw
Apartment	NN-TL apartment
101b	CD-TL 101b
painter	NN painter
Oakland	NP-TL oakland
Blanchard's	NP$-TL blanchard 's
Hearn	NP hearn
officiating	VBG officiate
Emma	NP emma
Odom	NP odom
Fergeson	NP fergeson
Tenn.	NP tenn.
daughters	NNS daughter
Stoll	NP stoll
Nancy	NP nancy
Greenville	NP greenville NP-TL greenville
S.C.	NP s.c.
Little	NP little
Wansley	NP wansley
Wallace	NP wallace
Wilmington	NP wilmington
N.C.	NP n.c.
24-year-old	NN 24 - year - old
rock	NN rock
assaulting	VBG assault
subdue	VB subdue
Patrolmen	NNS patrolman
Slate	NN-TL slate
Crawford	NP crawford
Ronald	NP ronald
1671	CD-TL 1671
Nakoma	NP-TL nakoma
511	CD-TL 511
11-month-old	JJ 11 - month - old
ripped	VBD rip
latch	NN latch
scratching	VBG scratch
melee	NN melee
scratches	NNS scratch
violent	JJ violent
attacked	VBD attack
subdued	VBN subdue
uniforms	NNS uniform
counts	NNS count
assault	NN assault
battery	NN battery
resisting	VBG resist
disturbance	NN disturbance
cursing	VBG curse
5,000	CD 5,000
desk	NN desk
guest	NN guest
Hall	NN-TL hall
disability	NN disability
entries	NNS entry
ranging	VBG range
transfers	NNS transfer
employments	NNS employment
pensions	NNS pension
wistfully	RB wistfully
tribute	NN tribute
intensifying	VBG intensify
ant	NN ant
eradication	NN eradication
fast-spreading	JJ fast - spread
pest	NN pest
Troup	NP troup
Pierce	NP pierce
Bryan	NP bryan
Bulloch	NP bulloch
treat	VB treat
132,000	CD 132,000
acres	NNS acre
infested	VBN infest
Blasingame	NP blasingame
entomologist	NN entomologist
Low-flying	JJ low - flying
planes	NNS plane
granular-type	JJ granular - type
chemical	NN chemical
heptachlor	NN heptachlor
30,000	CD 30,000
37,000	CD 37,000
65,000	CD 65,000
Bibb	NP bibb
37,679	CD 37,679
treating	VBG treat
20,000	CD 20,000
Macon	NP macon NP-TL macon
Bleckley	NP bleckley
Tift	NP tift
Turner	NP turner NP-TL turner
infest	VB infest
approximately	RB approximately
attacking	VBG attack
crops	NNS crop
wildlife	NN wildlife
livestock	NN livestock
menace	NN menace
humans	NNS human
allergic	JJ allergic
venom	NN venom
north-bound	JJ north - bind
Expressway	NN-TL expressway
14th	OD-TL 14th
survey	NN survey
electric	JJ electric
computers	NNS computer
cameras	NNS camera
engineers	NNS engineer
congestion	NN congestion
suggest	VB suggest
intersection	NN intersection
daylight	NN daylight
Cain	NP-TL cain
Piedmont	NP-TL piedmont
junction	NN junction
Northeast	JJ-TL northeast
Northwest	JJ-TL northwest NN-TL northwest
Expressways	NNS-TL expressway
crashes	NNS crash
fiery	JJ fiery
crash	NN crash
Snellville	NP snellville
Patrol	NN-TL patrol
4-year-old	JJ 4 - year - old
Claude	NP claude
Maynor	NP maynor
Calvary	NP calvary
Troopers	NNS trooper
path	NN path
111	CD-TL 111
Bursts	VBZ-HL burst
flames	NNS-HL flame NNS flame
auto	NN auto
overturned	VBD overturn
skidding	VBG skid
tractor-trailer	NN tractor - trailer
burst	VB burst
Bester	NP bester
Hammett	NP hammett
Rte.	NN-TL rte .
Lawrenceville	NP lawrenceville
Herrington	NP herrington
flaming	VBG flame
unusually	QL unusually
month's	NN$ month 's
GA	NN ga
category	NN category
allotment	NN allotment
commissioners	NNS commissioner
$58,918	NNS $ 58,918
budgeted	VBN budget
$66,000	NNS $ 66,000
$7,082	NNS $ 7,082
$17,000	NNS $ 17,000
slackening	VBG slacken
oks	VBZ-HL ok
pact	NN-HL pact
newly-appointed	JJ newly - appoint
Webster	NP webster
River	NN-TL river
Ennis	NP ennis
Keizer	NP keizer
consultant	NN consultant
data	NN datum
processing	NN processing
considerable	JJ considerable
converting	VBG convert
electronic	JJ electronic
magnetic	JJ magnetic
tape	NN tape
renew	VB renew
$8	NNS $ 8
adapting	NN adapt
Administrator	NN-TL administrator
Juras	NP juras
Field's	NP$ field 's
unique	JJ unique
handicapped	VBN handicapped
emphasized	VBD emphasize
employ	NN employ
fulfill	VB fulfill
handles	VBZ handle
regrets	VBZ regret
literally	RB literally
wheels	NNS wheel
directing	VBG direct
answerable	JJ answerable
man's	NN$ man 's
conversion	NN conversion
familiarity	NN familiarity
Do	DO do
defend	VB defend
Peck	NP peck
moment	NN moment
arguments	NNS argument
commission's	NN$ commission 's
vice-chairman	NN vice - chairman
Patterson	NP patterson
Physicians	NNS-TL physician
Service	NN-TL service
crippling	VBG crippling
weaknesses	NNS weakness
communications	NNS communication
F	NN f
objective	NN objective
create	VB create
robber	NN robber
Huntley	NP huntley
Lavaughn	NP lavaughn
getaway	NN getaway
Woodyard	NP-TL woodyard
Bros.'	NNS$-TL bros. '
Grocery	NN-TL grocery
2825	CD-TL 2825
Burnside	NP-TL burnside
McNeil	NP-TL mcneil
Hillsdale	NP hillsdale
holdup	NN holdup
Secret	JJ secret
Detective	NN-TL detective
Murray	NP murray NP-TL murray
Logan	NP logan
culminates	VBZ culminate
robberies	NNS robbery
papers	NNS paper
12-year-old	JJ 12 - year - old
Elaine	NP elaine
9329	CD-TL 9329
Schuyler	NP-TL schuyler
Bess	NP-TL bess
Kaiser	NP-TL kaiser
bicycle-auto	JJ bicycle - auto
collision	NN collision
Gateway	NN-TL gateway
Shopping	NN-TL shop
Forsyth	NP forsyth
Brett	NP brett
1926	CD-TL 1926
50th	OD-TL 50th
Riverview	NP riverview
Abbey	NN-TL abbey
1886	CD 1886
logging	VBG log
1928	CD 1928
Macwhyte	NP-TL macwhyte
Alice	NP alice
Wash.	NP wash.
Horstman	NP horstman
Lucy	NP lucy
Beatrice	NP beatrice
Kiefferm	NP kiefferm
grandchildren	NNS grandchild
Employes	NNS employes
Dalles	NP-TL dalle
decertify	VB decertify
1565	CD-TL 1565
Retail	JJ-TL retail
Clerks	NNS-TL clerk
AFL-CIO	NN afl - cio
collective	JJ collective
NLRB	NN nlrb
potentially	RB potentially
67	CD 67
theatrical	JJ theatrical
producer	NN producer
band	NN band
collapsed	VBD collapse
6124	CD 6124
Blvd.	NN-TL blvd .
functions	NNS function
Fair	NN-TL fair
booked	VBN book
collaborated	VBD collaborate
entertainers	NNS entertainer
Jimmy	NP jimmy
Durante	NP durante
Silvers	NP silver
20-piece	NN 20 - piece
profession	NN profession
Harmony	NN-TL harmony
lodge	NN lodge
AF	NN af
AM	NN am
Scottish	JJ-TL scottish
Rite	NN-TL rite
Kader	NP-TL kader
Shrine	NN-TL shrine
Order	NN-TL order
Elks	NNS-TL elks
142	CD-TL 142
Voiture	NP-TL voiture
Musician's	NN$-TL musician 's
99	CD-TL 99
Heights	NNS-TL height
Nevah	NP-TL nevah
Sholom	NP-TL sholom
Congregation	NN-TL congregation
Tearle	NP tearle
Stein	NP stein
Dorenzo	NP dorenzo
Birdie	NP birdie
Gevurtz	NP gevurtz
Aaron	NP aaron
Cohn	NP cohn
Holman	NP-TL holman
Son	NN-TL son
interment	NN interment
Neveh	NP neveh
Zebek	NP zebek
cemetery	NN cemetery
omitted	VBN omit
16-year-old	JJ 16 - year - old
Achievement	NN-TL achievement
judged	VBN judge
competition	NN competition
Tim	NP tim
Larson	NP larson
Wilson	NP-TL wilson NP wilson
Spice-Nice	NP spice - nice
guided	VBD guide
top-ranking	JJ top - rank
4,500	CD 4,500
11-year	JJ 11 - year
JA	NN ja
Scolatti	NP scolatti
counseled	VBN counsel VBD counsel
Georgia-Pacific	NP-TL georgia - pacific
first-place	NN first - place
regional	JJ regional
pocket-size	NN pocket - size
$2,170	NNS $ 2,170
barbecue	NN barbecue
spices	NNS spice
stockholders	NNS stockholder
dividend	NN dividend
investment	NN investment NN-HL investment
Youngsters	NNS-HL youngster
teenagers	NNS teenager
guidance	NN guidance
youngsters	NNS youngster
full-scale	JJ full - scale
businesses	NNS business
culmination	NN culmination
Participants	NNS participant
adult	NN adult
advisors	NNS advisor
drawn	VBN draw
Savings	NNS-TL saving
Bond	NP-TL bond
$250	NNS $ 250
distributed	VBN distribute
g-p	NN-HL g - p
Advisors	NNS advisor
Breuer	NP breuer
Stephenson	NP stephenson
5847	CD-TL 5847
Nevada	NP-TL nevada
Ct.	NN-TL ct .
Kathleen	NP kathleen
Jefferson	NP jefferson
Reifenrath	NP reifenrath
Madison	NP madison NP-TL madison
Wegener	NP wegener
Karen	NP karen
Kolb	NP kolb
Shelby	NP shelby
Carlson	NP carlson
Hillsboro	NP-HL hillsboro NP hillsboro
County's	NN$-TL county 's
36th	OD 36th
4-H	NN 4 - h
FFA	NN ffa
8:30	CD 8:30
day's	NN$ day 's
flower	NN flower
horsemanship	NN horsemanship
clown	NN clown
shows	NNS show
Attendance	NN attendance
five-day	JJ five - day
skies	NNS sky
attract	VB attract
fairgoers	NNS fairgoer
Exhibition	NN exhibition
Wick	NP wick
Walters	NP walters
all-county	JJ all - county
quartet	NN quartet
baton	NN baton
twirler	NN twirler
Sue	NP sue
Nuttall	NP nuttall
Reedville	NP reedville
Finalists	NNS finalist
county's	NN$ county 's
Results	NNS-HL result
Janet	NP janet
Jossy	NP jossy
sheep	NN sheep
ribbons	NNS ribbon
Stephanie	NP stephanie
Zurcher	NP zurcher
Phyllis	NP phyllis
Carol	NP carol
Lorlyn	NP lorlyn
exhibited	VBD exhibit VBN exhibit
hog	NN hog
Traxel	NP traxel
Hutchins	NP hutchins
Banks	NNS-TL bank
Swine	NNS swine
showmanship	NN showmanship
blues	NNS blue
Pumpkin	NN-TL pumpkin
rabbit	NN rabbit
poultry	NN poultry
judging	NN judge
Nyberg	NP nyberg
Tualatin	NP tualatin
Batchelder	NP batchelder
Tigard	NP tigard
eggs	NNS egg
Wacklin	NP wacklin
Sherwood	NP sherwood
male	NN male JJ male
female	NN female
bird	NN bird
Haase	NP-TL haase
Corneilus	NP corneilus
entrant	NN entrant
swine	NNS swine
championships	NNS championship
Strong	NP strong
Cedar	NP-TL cedar
Mill	NN-TL mill
cooked	VBD cook
Millie	NP millie
Jansen	NP jansen
Verboort	NP verboort
Jody	NP jody
Jaross	NP jaross
Borland	NP borland
economics	NN economic
demonstration	NN demonstration
filbert	NN filbert
appeals	NNS appeal
assessors	NNS assessor
assessments	NNS assessment
Centredale	NP centredale
Grenier	NP grenier
assessment	NN assessment
properties	NNS property
quarterly	RB quarterly
Pezza	NP pezza
69	CD 69
734	CD-TL 734
shoulder	NN shoulder
pains	NNS pain
collided	VBD collide
Giorgio	NP giorgio
DeSoto	NP-TL desoto
onto	IN onto
slightly	RB slightly QL slightly
DiSimone	NP disimone
uninjured	JJ uninjured
Thieves	NNS thief
ransacked	VBD ransack VBN ransack
Cranston	NP cranston
$3,675	NNS $ 3,675
furs	NNS fur
jewels	NNS jewel
coins	NNS coin
Stephen	NP stephen
Kochanek	NP kochanek
theft	NN theft
Drive	NN-TL drive
intruders	NNS intruder
coat	NN coat
$700	NNS $ 700
Persian	JJ persian
lamb	NN lamb
$450	NNS $ 450
wallet	NN wallet
French	JJ french NP french
valued	VBN value
rings	NNS ring
earrings	NNS earring
diamond	NN diamond
$900	NNS $ 900
$325	NNS $ 325
$75	NNS $ 75
$65	NNS $ 65
$125	NNS $ 125
$85	NNS $ 85
Kochaneks	NPS kochaneks
Nunes	NP nunes
investigated	VBD investigate
thieves	NNS thief
Drawers	NNS drawer
cabinets	NNS cabinet
bedrooms	NNS bedroom
sewing	VBG sewing
stoppage	NN stoppage
Eddy	NP eddy NP-TL eddy
Elm	NN-TL elm
dumping	VBG dump
raw	JJ raw
sewage	NN sewage
acid	NN acid
jewelry	NN jewelry
plants	NNS plant
flowing	VBG flow
tide	NN tide
two-family	JJ two - family
255	CD-TL 255
Brook	NN-TL brook
deed	NN deed
Cochran	NP cochran
bought	VBN buy VBD buy
rental	JJ rental
Pawtucket's	NP$ pawtucket 's
garbage	NN garbage
rubbish	NN rubbish
picketed	VBD picket
firm's	NN$ firm 's
incinerator	NN incinerator
strike	NN strike
Rotelli	NP rotelli
Incinerator	NN-TL incinerator
company's	NN$ company 's
collections	NNS collection
hired	VBN hire
Sydney	NP sydney
Workers	NNS-TL worker
62-year-old	JJ 62 - year - old
Smithfield	NP smithfield
Beverly	NP-TL beverly NP beverly
Circle	NN-TL circle
satisfactory	JJ satisfactory
Fatima	NP-TL fatima
Woonasquatucket	NP-TL woonasquatucket
fractured	VBN fractured
ribs	NNS rib
chest	NN chest
Stone's	NP$ stone 's
brushed	VBD brush
Alva	NP alva
Vernava	NP vernava
Maple	NN-TL maple
tearing	VBG tear
rear	NN rear JJ rear VB rear
bumper	NN bumper
denting	VBG dent
fender	NN fender
impact	NN impact
Fruit	NN-TL fruit
Committee's	NN$-TL committee 's
audio-visual	JJ audio - visual
Democratic-endorsed	JJ democratic - endorse
acted	VBD act
improperly	RB improperly
Nolan	NP nolan
3rd	OD-TL 3rd
Walsh	NP walsh
Tougas	NP touga
finding	VBG find NN find
superintendent's	NN$ superintendent 's
suitable	JJ suitable
Vermeersch	NP vermeersch
Rosella	NP rosella
Lovett	NP lovett
$55,000	NNS $ 55,000
damages	NNS damage
83	CD-TL 83
Atwells	NP-TL atwells
Interstate	JJ-TL interstate
valuation	NN valuation
$57,500	NNS $ 57,500
owners'	NNS$ owner '
$52,500	NNS $ 52,500
one-story	JJ one - story
8,293	CD 8,293
Saul	NP saul
Hodosh	NP hodosh
represented	VBD represent VBN represent
Santa's	NP$ santa 's
lieutenants	NNS lieutenant
Journal-Bulletin	NP journal - bulletin
Claus	NP claus
Fund	NN-TL fund
Persons	NNS person
convenient	JJ convenient
Journal-Bulletin's	NP$ journal - bulletin 's
823	CD-TL 823
acknowledged	VBN acknowledge
fund's	NN$ fund 's
quota	NN quota
$8,250	NNS $ 8,250
Scores	NNS score
remembered	VBN remember
contributors	NNS contributor
pennies	NNS penny
nickels	NNS nickel
dimes	NNS dime
quarters	NNS quarter
Parrillo	NP parrillo
Fletcher	NP-TL fletcher
11:30	CD 11:30
hunting	VBG hunt
shotgun	NN shotgun
discharged	VBD discharge
heel	NN heel
Hose	NN-TL hose
Thornton	NP thornton
companion	NN companion
Simmonsville	NP simmonsville
$4,177.37	NNS $ 4,177.37
$50,000	NNS $ 50,000
Oliver	NP oliver
alterations	NNS alteration
beds	NNS bed
646	CD 646
Sorrentino	NP sorrentino
founder	NN founder
Uncas	NP-TL uncas
Mfg.	NN-TL mfg .
Cavaliere	FW-NN-TL cavaliere
Merit	NN-TL merit
Italy	NP italy
decoration	NN decoration
Trichieri	NP trichieri
consul	NN consul
celebrating	VBG celebrate
bestowal	NN bestowal
Aurora	NP-TL aurora
Newport-based	JJ newport - base
destroyer	NN destroyer
escort	NN escort
Kretchmer	NP kretchmer
Newport	NP newport
months'	NNS$ month '
mercy	NN mercy
afloat	RB afloat
ashore	RB ashore
rescued	VBD rescue
crew	NN crew
trawler	NN trawler
drifting	VBG drift
raft	NN raft
sinking	VBG sink
stopping	VBG stop
Greenock	NP greenock
Scotland	NP scotland
liberty	NN liberty
rendered	VBD render
girl's	NN$ girl 's
Birmingham	NP-HL birmingham NP birmingham NP-TL birmingham
